,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,predict
340,NFLX,2018-05-23 00:00:00+00:00,344.72,345.0,328.09,329.04,10049147.0,344.72,345.0,328.09,329.04,10049147.0,0.0,1.0,344.72
341,NFLX,2018-05-24 00:00:00+00:00,349.29,354.0,341.12,344.34,14758553.0,349.29,354.0,341.12,344.34,14758553.0,0.0,1.0,349.29
342,NFLX,2018-05-25 00:00:00+00:00,351.29,354.36,348.83,349.9,7817400.0,351.29,354.36,348.83,349.9,7817400.0,0.0,1.0,351.29
343,NFLX,2018-05-29 00:00:00+00:00,349.73,356.1,346.71,351.5,9717921.0,349.73,356.1,346.71,351.5,9717921.0,0.0,1.0,349.73
344,NFLX,2018-05-30 00:00:00+00:00,353.54,354.0,349.26,352.37,5685531.0,353.54,354.0,349.26,352.37,5685531.0,0.0,1.0,353.54
345,NFLX,2018-05-31 00:00:00+00:00,351.6,355.53,350.21,353.8,6921687.0,351.6,355.53,350.21,353.8,6921687.0,0.0,1.0,351.6
346,NFLX,2018-06-01 00:00:00+00:00,359.93,359.99,352.82,353.88,7112292.0,359.93,359.99,352.82,353.88,7112292.0,0.0,1.0,359.93
347,NFLX,2018-06-04 00:00:00+00:00,361.81,363.0,355.51,362.6847,7681995.0,361.81,363.0,355.51,362.6847,7681995.0,0.0,1.0,361.81
348,NFLX,2018-06-05 00:00:00+00:00,365.8,369.83,361.4124,363.32,8358045.0,365.8,369.83,361.4124,363.32,8358045.0,0.0,1.0,365.8
349,NFLX,2018-06-06 00:00:00+00:00,367.45,369.6799,363.33,367.7848,7712302.0,367.45,369.6799,363.33,367.7848,7712302.0,0.0,1.0,367.45
350,NFLX,2018-06-07 00:00:00+00:00,361.4,368.7,357.8,368.54,8278040.0,361.4,368.7,357.8,368.54,8278040.0,0.0,1.0,361.4
351,NFLX,2018-06-08 00:00:00+00:00,360.57,362.39,356.25,358.06,5225736.0,360.57,362.39,356.25,358.06,5225736.0,0.0,1.0,360.57
352,NFLX,2018-06-11 00:00:00+00:00,361.45,365.67,360.91,361.88,4432445.0,361.45,365.67,360.91,361.88,4432445.0,0.0,1.0,361.45
353,NFLX,2018-06-12 00:00:00+00:00,363.83,365.98,362.0,363.6,4290969.0,363.83,365.98,362.0,363.6,4290969.0,0.0,1.0,363.83
354,NFLX,2018-06-13 00:00:00+00:00,379.93,384.2537,364.11,367.53,18222799.0,379.93,384.2537,364.11,367.53,18222799.0,0.0,1.0,379.93
355,NFLX,2018-06-14 00:00:00+00:00,392.87,395.03,383.25,384.27,14598333.0,392.87,395.03,383.25,384.27,14598333.0,0.0,1.0,392.87
